rsum gene_name
683431 Cacna1c
683057 Mapk10
681123 Marchf1
675490 Tanc2
673532 Adarb2
672215 Robo2
667977 Macf1
666051 Grip1
665599 Ppfia2
661972 Chrm3
661288 Dock3
658134 Pcsk2
657641 Gphn
656758 Tmem178b
655093 Cnksr2
646140 Cacnb2
645246 Cadm1
643739 Cacnb4
637287 Tmeff2
634094 Nav2
626720 Myt1l
626684 Brinp1
623310 Dscam
620845 Syne1
620746 Samd12
619831 Mef2c
618558 Tnik
618462 Foxp1
616811 Fat3
615946 Gpr158
607699 Zbtb20
607682 Prkn
605636 Ahi1
600609 Cntnap5a
598458 Egfem1
595733 Pex5l
584944 Hdac9
583420 Nrcam
582563 Luc7l2
580670 Rian
579964 Ptprt
577046 Dip2c
565685 Brinp3
564461 Cntn1
563262 Akap6
557577 Astn2
553551 Prkcb
548172 Cttnbp2
542176 Prickle2
540330 Tenm3
536930 Ttc3
535946 Mast4
535306 Frmd5
534998 Ext1
533775 Mycbp2
533501 Pclo
533213 Cdr1os
531270 Mir99ahg
529518 Ntrk3
528535 A230057D06Rik
528397 Unc5c
527401 Gm26871
527288 Rgs6
526632 Slc1a2
526538 Slit3
520002 Atp2b1
517308 Tafa2
514362 Cacna1e
514212 Hecw2
510346 Stxbp5l
509320 Sgip1
508225 Epha5
504050 Prkce
503863 Rere
502682 Akt3
501766 Ntrk2
500746 Pde1a
499462 Otud7a
498480 Npas3
497664 Hs3st4
497179 Cacna1a
494765 Cdh12
493559 Lncpint
493402 Ncam1
493386 Chsy3
491144 Kcnc2
487166 Dock4
486455 Map2
484808 Sgcd
474219 Grid1
465764 Exoc4
464251 Celf4
463797 Clstn2
461693 Nptn
460219 ENSMUSG00000121513
453492 Zfp385b
453222 Rabgap1l
449196 Gpc6
447010 Mctp1
446684 Dok6
445469 Rasal2
444212 5730522E02Rik
443361 Fbxl17
441211 Mbd5
437660 Gpm6a
437030 Atrnl1
436866 Setbp1
436844 Mir100hg
436762 Enox1
436659 Mmp16
436090 Dennd1a
436075 App
435040 Kcnq1ot1
434956 Ryr3
434345 Edil3
433948 Zcchc7
431488 Unc80
427600 Galnt13
426035 Slc35f1
424120 Sorcs1
421700 Cntn3
420052 Grm8
418880 Rtn3
412589 Camk2a
410200 Alcam
407978 Gpm6b
406662 Tnr
406218 Xist
405507 Prickle1
405155 Kcnj3
404144 A230006K03Rik
403509 Kansl1
401408 Dst
400062 Lhfpl3
399364 Nxph1
399349 Camk1d
398590 Ppm1e
397940 Pak5
396768 Zfp804b
396761 Hcn1
396551 Cdc42bpa
396513 Lrrtm3
396342 Zeb2
395906 Spock3
394767 Camta1
394521 Grm3
394126 Plekha5
393448 Tenm1
392262 Fry
389201 Kif1b
385948 Stag1
385568 Spock1
384537 Luzp2
383236 Thrb
382026 Il1rapl2
381844 Khdrbs2
381110 Ptk2
379960 Ppp1r9a
379959 Dnaaf9
379958 Gls
379198 Slc4a10
377824 Cacna1d
376331 Cdk14
375643 Grm1
375381 Rapgef4
374315 Nebl
373968 Magi1
372428 Ntng1
371944 Tnrc6c
371593 Kcnab1
370451 Meis2
370126 Efna5
369948 Fut9
369701 Apc
369336 Gabrb2
368965 Gm47283
367951 Tspan5
367775 ENSMUSG00000095041
367260 Asap1
367142 Gpatch8
367018 Nlk
366161 Cdh10
365731 Nell1
365604 Unc79
364613 Qki
364210 Ube3a
361821 Tjp1
360956 Map1b
360113 Arl15
359712 Klf12
357521 Sptbn1
356692 Pnisr
356634 Ssbp2
356116 Syn2
356030 Rbfox2
355208 Smyd3
353244 Hecw1
352594 Inpp4b
352091 Nfib
351855 Rgs7bp
350713 Diaph2
350554 Prkca
348802 Ldlrad4
348650 Khdrbs3
347396 Clasp2
345641 Adcy2
344974 Kcnt2
342896 Sipa1l1
342706 Rbms3
342183 Nell2
341627 Cdh8
341204 Nedd4l
341067 Vps13b
340470 Sema6d
340270 Dync1i1
340164 Rbm39
339834 Usp34
339606 Tmem132d
338398 Sox5
337682 Itpr1
337229 Plxna4
336849 Slc2a13
336724 Scn2a
336633 Dtna
336032 Fmn2
335972 Nol4
335335 Pam
334143 Atp2b2
334057 Mbnl2
333570 Trim9
333214 Dnm3
332429 Exoc6b
331160 Astn1
330834 Stox2
330205 Caln1
328838 Myo9a
328758 Cpeb3
327939 Wwox
327053 Aak1
327049 Sorcs3
326772 Csmd2
326679 Ano3
325815 Trps1
324760 Slc4a4
323812 Rbfox3
322006 Adam22
320086 Herc1
318656 Nr3c2
317261 Atp8a1
316852 Tnrc6b
316650 Mapt
316114 D430041D05Rik
315469 Shisa9
315127 Son
315090 Fam135b
314518 Tmcc1
313598 Pde7b
311318 Dlg1
310512 Klhl29
309756 Arhgap26
309010 Ubn2
308786 Zfpm2
308436 Eml6
307710 Zmat4
306914 A830018L16Rik
306505 Sorbs1
306149 Gabra2
306011 Naaladl2
305299 Zfp804a
304728 Sh3gl2
302908 Gabbr2
302690 Camk4
302494 Chd9
302208 Zranb2
301267 Msi2
300399 Plcl1
299614 Srgap3
299261 Hivep3
298798 Pde4dip
298096 Msra
297863 Gnaq
297273 Rasgrf1
297259 Rasgef1b
297044 Cpe
296226 Trio
296052 Aff3
295756 Ccdc88a
295322 Pdzrn3
294763 Ssh2
293304 Tcf12
292997 Srrm2
292194 Tmem132b
290703 Mllt3
290534 Sik3
290392 Mllt10
290387 Ehbp1
290295 Galnt17
290009 Rbm6
289488 Ralgapa1
289074 Upp2
288860 Prr16
288663 Adam23
288388 Pi4ka
287112 Scn8a
284898 Srpk2
284764 Cdh2
284584 Nalcn
282670 Celf1
282264 Sobp
282074 Aopep
281359 Jmjd1c
280217 Ankrd17
278805 Rtn1
278603 Strn3
278101 Pak3
277544 Sbf2
276360 Ctnna3
276356 Scn1a
275734 Zeb1
275365 Entrep2
275176 Gucy1a2
273691 C130071C03Rik
273082 Grin1
271889 Bicd1
271666 Csrnp3
271628 Limch1
271066 Rfx3
270511 Sox2ot
270436 Cntnap5b
270430 Nyap2
270102 Esrrg
269952 Neto1
269616 Nfia
269183 Ttc14
267465 Pdzrn4
267123 Ogt
266711 Eif4g3
266303 Tspan7
265691 Pafah1b1
263715 Dtnb
262928 Ahcyl2
262194 Faf1
260739 Phf21a
260232 Gnao1
259627 Kazn
258708 Nf1
258618 Mrtfb
258576 Ubr3
258138 Nsf
258014 Amph
257969 Iqsec1
257186 Lrba
256332 Gtdc1
256123 Psd3
256098 Homer1
255387 Phlpp1
255271 Slc9a9
255156 Tox
254679 Fam172a
254530 A330023F24Rik
254516 Cdh13
254320 Sv2b
253847 Ptprk
253655 Myo5a
253069 Ncoa1
252880 Ncald
252654 Cadps2
251629 Cdh11
251411 Eml5
251321 Ccdc85a
251225 Elmo1
251144 Enah
250981 Immp2l
250695 Ldb2
250570 Nsd1
250536 Slc24a3
249927 5330434G04Rik
249483 Arid1b
249483 Ablim1
249120 Atrx
249063 Dnajc6
248863 Snap91
248593 Bcas3
248375 Zfr
248264 Pde8b
248223 Epb41l3
248089 Ankrd12
248017 Fstl4
247964 Nos1ap
247827 Phf20l1
247256 Vti1a
246489 Ambra1
246462 Ppm1l
246257 Slc35f4
245737 Ncoa2
245429 Ankrd11
244741 Ano4
244166 Kif21a
243928 Ptprj
243579 Spag9
243571 Thsd7a
243298 Cox16
243206 Ptprm
242999 Atp8a2
242908 Me3
242879 Ecpas
242605 Garnl3
242526 2210408I21Rik
242336 Arglu1
242156 Fmnl2
241681 Nktr
241614 Peg3
241603 Apba2
241549 Ksr2
240931 Btbd9
240283 Apba1
240188 Trerf1
239602 Trim2
239433 Osbpl6
239119 Tbc1d5
238485 Gm20754
237349 Rapgef5
236467 Fam168a
236360 9530059O14Rik
236282 Rapgef2
236165 Zswim6
236162 Ftx
235393 Flrt2
234147 Ncor1
233953 Crebbp
233801 Ubr5
233564 Usp29
233076 Ash1l
232992 Sybu
232817 Hnrnpu
232321 4930578G10Rik
231552 Arhgap32
231303 Xkr6
230408 Birc6
229815 Galnt18
229771 Scai
229369 Acap2
229240 Rbm25
228653 Kidins220
228183 Focad
228183 Snrnp70
227901 Kmt2e
227869 Trhde
227853 Dlc1
227719 Mical3
227368 Xylt1
226979 St6galnac3
225892 Apbb2
225818 Dgkh
225772 Rsrp1
225518 Braf
225480 Ppp1r12a
225475 Farp1
225382 Bcl11a
225046 Rorb
223098 Fgf13
223004 Arih1
222924 Psme4
222804 Ddx5
222520 Srgap2
222024 Rit2
221997 R3hdm2
220628 Etnk1
220469 Trip12
220316 Kmt2c
220313 Nfat5
220144 Rock2
219981 Wdr17
219731 Zfp638
219340 Baz2b
219216 Stau2
218113 Jakmip2
216776 Sptan1
216562 Luc7l3
216466 Rnf150
216450 Epha7
216133 Pitpnc1
215950 Rabep1
215219 2210408F21Rik
215086 Ralgapa2
214418 Rtn4
214195 Ica1
214113 Pan3
212097 Rimbp2
211592 Runx1t1
211012 Vsnl1
210892 Mtus2
210783 Mical2
210514 Setd5
209838 Cyrib
209818 Smg6
209739 Fus
209499 Cpne4
209409 Kcnn2
209215 Rps6ka3
208486 Cacna1b
207936 Fto
206883 Grik1
206661 Map7
206643 Ddx17
206634 Chn1
206462 Dscaml1
206419 Nkain3
206406 Cplane1
206178 Dnmt3a
205684 Cask
205436 Phf14
205382 Dnajc1
205349 Tcf20
205287 Cux1
205091 Huwe1
205089 Scaper
205078 Igf1r
204200 Wdfy3
203500 Atp6v0a1
203298 Fnbp1
203240 Nsd3
202682 Ptpn4
201308 Camk2d
201281 Cdkl5
201221 Ttc7b
201103 Papola
200473 Cap2
200361 Elavl3
199604 Fgfr2
199560 Tmem108
199557 Cntn6
199465 Hdac8
199426 Cpeb4
199037 Tnrc6a
198900 Tra2a
198386 Ptprs
198344 Arhgef9
197890 Nckap1
197186 Zdhhc14
197064 Scmh1
196774 Tshz2
196317 Jazf1
196309 Gramd1b
196204 Med12l
195757 Ppp1r12b
195738 Zmym4
195477 Syt16
195456 Rabgap1
195335 Abi2
195307 Epha4
195086 Ylpm1
194862 Dync1i2
194856 Plcl2
194756 Dmxl1
194459 Kcnd3
193615 Srsf11
193559 Vps13a
193530 Osbpl8
193331 Chd6
193329 Rab3c
193260 Abr
193241 Foxp2
193179 Rtl4
193127 Kat6b
192424 Rcan2
192313 Plxdc2
192109 Wnk1
192037 Dip2b
191870 St6galnac5
191863 Gsk3b
191728 Akap8l
190476 Kmt2a
190412 Zmynd8
190334 Rfx7
190106 Esyt2
189887 Pid1
189863 Wdr33
189469 Zfand3
189184 Rap1gds1
189004 Gprasp1
188655 Pcca
188619 Arhgef12
188544 Rev3l
188293 Sltm
188176 Numb
188171 Trank1
188141 Phip
188124 Specc1
188117 Thsd7b
188116 Nrg3os
187432 Nr6a1
187425 Elavl2
187325 Ptchd4
186538 Cnot4
186528 Reps2
186420 Aig1
186304 Ak5
185878 Rapgef6
185707 Plcb4
185638 Pakap
185564 Pard3
185385 Prpf4b
185241 Zfp148
185190 Kcnh1
185111 Tmtc1
185084 Map2k4
184897 Sdk1
184866 Pacsin1
184426 Atp9b
183940 Stxbp5
183799 Smg1
183735 Agap1
183720 Pkp4
183605 Sptbn4
183596 Cers6
183212 Miat
183154 Slc35f3
183062 Wdr7
182848 Oxct1
182836 Cstpp1
182774 Adcy9
182477 Olfm3
182274 Nfasc
182245 Zfp280d
181527 Fam193a
181437 Dennd5b
181170 Sh3rf3
181032 Dmxl2
180298 Plxna2
179527 Cobl
179120 Rbm5
178333 Atp2a2
178299 Adk
178112 Sfpq
178037 Sphkap
177299 Btrc
176977 Csnk1a1
176945 Slit2
176657 Arid4b
176648 Mlip
176543 Nipbl
176337 Pcdh11x
176329 Acaca
175915 Ptprz1
175912 B830012L14Rik
175837 A330076H08Rik
175096 Elmod1
175064 Srek1
174965 Ablim2
174770 Cspp1
174735 Prrc2c
174299 Afdn
174076 Spire1
173758 Nmnat2
173672 Fhod3
173422 Gmds
173195 C2cd5
173040 Csnk1g1
172998 Clvs1
172674 Arhgap21
172590 Pcmtd1
172544 Mbtd1
172501 Tia1
172332 Kcnj6
172326 Erc1
171925 Fut8
171773 Arfgef3
171738 Usp9x
171634 Clasp1
171568 Cdk17
171479 Osbpl9
171398 Ube2b
171141 Usp32
170932 Nedd4
170921 Cyfip2
170765 Lcor
170668 Dcaf6
170506 Kif5c
170250 Phf24
169853 Tmtc2
169542 Rbm26
169494 Mef2a
169349 Gm3764
169271 Gabrg2
169127 Ankrd28
169081 Stk39
168168 Zmynd11
167898 Mpped2
167732 Tsc22d1
167609 Ralgps1
167600 Dapk1
167282 Cmip
167070 Adcy8
166800 Chka
166584 Chd2
166557 Mapk1
166495 Fubp1
166292 Sclt1
166291 Dock10
166057 Arhgap5
165705 Dock7
165572 Mgat5
165415 Bltp1
165201 Foxn3
165189 Cit
165169 Fchsd2
164217 Ascc3
163847 Pbx3
163761 Npepps
163687 Tom1l2
163591 Ncoa7
163571 Septin7
163443 Ank
163408 Pcm1
162836 Nrg2
162808 Zfyve9
162777 Brwd1
162731 Fras1
162623 Herc2
162535 Chl1
162185 Atxn2
161883 Gm49678
161814 Gigyf2
161751 Phactr3
161473 Rarb
161464 Ube2k
161205 Tut4
161200 Ppm1h
161137 Dis3l2
161017 Shank2
160979 Htr1f
160958 Cdk13
160932 Syt7
160656 Ankhd1
160236 Abcc5
160184 Syn3
160171 Myo16
159985 Atp2c1
159518 Dock9
158950 Dennd4a
158435 Pten
158177 Vwa8
158026 Fbxo11
157610 Tcf25
157174 Tusc3
156917 Mkln1
156570 Zfhx3
155943 Il1rap
155895 Gm4258
155199 Srrm3
154721 Mbnl1
154613 Matr3
154605 Nin
154164 Fars2
154157 Htr2c
153776 Fmn1
153417 Gm32647
153266 Cdk12
152847 Unc13c
152802 Rmst
152743 Med13l
152580 Hectd4
152266 Nav1
152205 Lin7a
152032 Bclaf1
151800 Ago3
151720 Ube3c
151621 Rock1
151439 Prkag2
151394 Arap2
151325 E130307A14Rik
151206 Calm2
151017 Gabra4
150777 Mapk4
150717 Rnf130
150681 9930021J03Rik
150665 Klhl2
150538 Chchd3
150350 Aff4
150065 Pacs1
149881 Scaf8
149352 Zfp462
149312 Ndfip1
149275 Top1
149212 Arid5b
149126 Wnk2
149045 Mast2
148915 Atp1b1
148864 Nt5c2
148826 Stxbp6
148726 Klhdc10
148559 Ktn1
148534 Pknox2
148516 Slc44a1
148477 Pja2
148406 Tle4
148375 Rb1cc1
147973 Evi5
147815 Brinp2
147754 Reep1
147615 Npas2
147613 Fnbp1l
147497 Gm28905
147056 Fhit
147048 Carmil1
146898 Kcnh5
146822 Nwd2
146794 Fryl
146695 Cntnap5c
146377 Smarca2
146187 Cdkal1
146107 Pdzd2
145928 Zfp536
145627 Cdh20
145582 Trpm7
145523 Bach2
145307 Pias2
145193 Nsmce2
145143 Usp15
144963 Jarid2
144817 Ptn
144509 Zfp407
144467 Tacc1
144342 Mprip
144235 Cog5
144227 Fbxw7
144052 Kdm4c
143955 Maml2
143883 Mark3
143745 Mark2
143661 Lpgat1
143525 Rasgrf2
143413 B230209E15Rik
143278 Kif1a
143220 Ephb1
143208 Golm2
143031 Rbms1
143025 Arnt2
142381 Ptbp2
142323 Col25a1
141787 Hmgcll1
141704 Magi3
141659 Tmem135
141609 St7
141336 Bsn
141265 Fer
141186 Satb2
141185 Syn1
140990 Rsf1
140908 Cpsf6
140813 Smim14
140808 Iqsec2
140549 Brd4
140426 Kctd8
140345 Ehmt1
140268 Srrm4
140225 Sf3b1
140176 Rufy3
140115 Sox6
140057 Atf2
139984 Far1
139868 Maml3
139762 Ptprn
139657 Dleu2
139541 Man1a2
139238 Mir124a-1hg
139209 Dpyd
138960 Thoc2
138818 Tiam1
138762 Kifap3
138752 Gnb1
138724 Rsrc1
138712 Sh3kbp1
138645 Hs2st1
138459 Rnf220
138301 Aff2
138152 Slc25a12
138119 Gbf1
138006 Mtmr3
137689 Ccny
137568 Lrrfip1
137301 Zfp950
137300 Clip1
137229 Taok1
137135 Cstf3
137109 Csgalnact1
137039 Gatad2b
136977 Ggnbp2
136935 Arfgef1
136788 Ulk2
136619 N4bp2l2
136493 Atrn
136431 Zfp609
136102 Ranbp9
136043 Lcorl
135976 Adgrl2
135867 Spred2
135477 Vps13d
135338 Sgms1
135269 Lmtk2
135115 Synpr
135103 Sidt1
134757 Sez6l
134751 Babam2
134750 Tcaf1
134428 Acyp2
134404 Dgkg
134300 Itsn1
134294 Shtn1
134269 Stxbp1
134191 Mtf2
134143 Mtdh
133878 Shisa6
133840 Tulp4
133595 Neo1
133305 Dym
133003 Pias1
132875 Ppp2r5e
132772 Cep112
132751 Dyrk1a
132707 Utrn
132649 Slmap
132453 Senp7
132429 Akap9
132360 Thoc2l
132298 Trim44
132246 Gm10754
132232 Zmym2
132028 Rap1gap2
132016 Atp1a3
131996 Slc8a3
131845 Ttc19
131838 Fnip1
131818 Map4k3
131764 Dnm1
131536 9330159F19Rik
131502 Ttll11
131490 Gm15155
131388 Add2
130991 Zfp644
130949 Ttll7
130887 Camk2b
130763 Xpr1
130680 Osbpl1a
130611 Epb41
130487 Pkia
130429 Scg5
130394 Wac
130383 Ddhd1
130349 Zfyve28
130182 Cnot2
129982 Ndst3
129893 Itch
129887 1500004A13Rik
129815 Arhgap39
129665 Kctd1
129655 Grik4
129588 Fam135a
129524 Relch
129522 Nr3c1
129258 Pkd1
129243 Tnpo1
129161 Slc22a23
129069 Zdhhc20
128884 Atxn10
128859 Gapvd1
128832 Dennd1b
128826 Lyst
128764 Tbl1x
128707 Map4
128649 Arhgap44
128604 Clstn1
128498 Dlx6os1
128452 Bptf
128429 Mib1
128396 Runx2
128166 Psmd14
128130 Atxn7l1
128107 Umad1
127950 Plppr4
127421 Gm40841
127401 Pak1
127396 Dync2h1
127373 Rgs20
127211 Spred1
126838 Med13
126781 Oga
126643 Hace1
126616 Cacng3
126584 Hs3st5
126380 Senp6
126366 Dner
126330 4732471J01Rik
126298 Spop
126297 Uvrag
126273 Gm20642
126261 Pfkp
126028 Septin11
125992 Adarb1
125991 Tln2
125991 Pdss2
125980 Cdh9
125969 Mcu
125858 Pum1
125669 Abl2
125660 Dach1
125523 Ube2g1
125451 Ptprr
125349 Gnal
125284 A330008L17Rik
125151 Dpysl2
125089 Cdk8
125064 Klhl32
124934 Ppp6r3
124869 Camkmt
124846 Vps41
124844 Atp6v0b
124646 Pou2f1
124615 Dzip3
124550 Tfdp2
124492 Rab10
124463 Hook3
124402 Tasp1
124319 Rptor
124305 Efr3a
124176 Bicral
124089 Herc3
124072 Agtpbp1
123973 Syt14
123830 Ndrg3
123779 Mtcl1
123482 Mboat2
123452 Ap2b1
123109 Snd1
123016 Lrch1
122908 Nbeal1
122886 Cop1
122690 Dlgap4
122664 Susd4
122579 Sort1
122557 Gpcpd1
122530 Synj1
122436 Nsd2
122194 Znrf1
122128 Wasf1
122106 Cpeb1
122041 Kcnq2
121898 Raph1
121823 Elavl4
121760 Xrn1
121731 Zfp292
121178 Snrpn
121171 Gm26691
121143 Vmp1
121118 Srcin1
121117 Cntnap4
121088 Rngtt
121058 Mdm4
121057 Fam219a
121046 Cracdl
121018 Gtf2i
120835 Atf6
120777 Bmpr2
120761 Slc12a6
120184 Prkd1
120155 Ckap5
120046 Gpr137c
119925 Arhgap10
119912 Gm1976
119862 Mrtfa
119734 Rnf169
119731 Lnpep
119545 Pcdh17
119531 Rab11fip3
119494 U2surp
119457 Ube2h
119423 Kdm2a
119402 Gab2
119362 Glg1
119280 Zfp445
119200 Vav3
119064 Hycc2
119040 Cyria
118930 Samd5
118821 Fyn
118573 Atad2b
118530 Adgrb1
118386 Htt
118253 Polb
118229 Uggt2
118222 Rasgef1a
118046 Klc1
117892 Enpp2
117755 Fbxl20
117553 Epc1
117537 Clock
117333 Lrfn2
117313 Ppp2r5c
117265 Ewsr1
117212 Epb41l1
117117 Ino80
117007 Gas7
116946 Acbd6
116798 Scn3a
116736 Epn2
116610 Ip6k1
116520 Klf7
116508 Clk1
116463 Basp1
116297 Vezt
116178 Atp6v1h
116165 Asxl2
116104 Uri1
116061 Pals2
116041 Pnn
115954 Zfp608
115887 Itsn2
115859 Tmod2
115752 Ppp2r3a
115736 Aplp2
115635 Elp4
115616 Qrich1
115531 Slc1a3
115441 Sbno1
115202 Ptpra
115069 Prpf40a
114890 Gm55122
114738 Sec61a2
114671 Tmem117
114668 Ube4b
114621 Snca
114492 Soga3
114468 Hnrnpa2b1
114386 Ildr2
114292 Helz
114125 Rgs17
114057 Btaf1
114055 Csnk1g3
114042 Slc16a7
113910 Sik2
113851 Micu3
113823 Nbas
113793 Calm1
113792 Bin1
113695 Plekha6
113666 Tafa5
113650 Arhgap35
113595 Ctdspl
113553 Abi1
113532 Nrd1
113481 6820431F20Rik
113476 Nova1
113342 Krit1
113223 Snph
113206 Prkcz
113200 Nr2c2
113176 Efr3b
113125 Add1
113011 Pakap.1
112841 Ccnt2
112770 Zfp532
112767 Osbp2
112646 Syndig1
112612 B230334C09Rik
112598 Cd2ap
112593 Ttll5
112544 Rnf157
112535 Ptpn12
112445 Lhfp
112387 Epha3
112313 Elapor1
112137 Cbfa2t2
112127 Pds5b
112062 Setd2
112015 Man1a
112014 Fstl5
111932 Trappc9
111868 Mapk8
111857 Pcnx
111779 Srrm1
111598 Gabbr1
111588 Bmerb1
111351 Gnas
111336 Hs6st2
111131 Ogdh
111111 Sorl1
110974 Xpo7
110863 AW554918
110786 Slco3a1
110755 Sec24b
110717 Ythdf3
110671 Ankib1
110602 Nmt2
110575 4933406I18Rik
110561 Hnrnpr
110494 Shank1
110376 Zzef1
110230 Sgk1
110150 Pitpna
110054 Rab30
110035 Serpini1
110024 Camk2g
109966 Fcho2
109918 St18
109863 Ralgapb
109714 Arsb
109477 Tlk1
109419 Larp4b
109311 Fam110b
109271 Ube2w
109146 Pds5a
109062 Phf3
109019 Gm30439
108994 Golgb1
108833 Lrrc49
108823 Rbm33
108819 Insr
108802 Usp24
108608 Ahcyl1
108458 Btbd7
108408 Fam171b
108299 Desi2
108255 Map2k5
108102 Gabra1
108093 Slc23a2
108090 Trim33
108061 Rab3gap1
108036 Necab1
108021 6530403H02Rik
107909 Sntb2
107818 Baz1b
107803 Cltc
107749 Copg2
107747 Sfxn5
107653 Snx29
107517 Purg
107497 Eml4
107413 Ppp2r2a
107402 Map4k5
107383 Zbtb16
107358 Dlgap3
107311 Cwc27
107277 Crebrf
107214 Lrch3
107195 Unc13b
107174 Nrf1
107089 Gfod1
106910 Nrxn2
106871 Kcnip3
106831 Flnb
106785 Megf9
106641 Cul1
106566 Fxr1
106474 Daam1
106312 Atf7
106221 Klhl7
105952 Taf15
105931 Myh10
105881 Osbpl3
105858 D5Ertd579e
105810 Tasor
105807 Mapre2
105763 Ophn1
105741 Pacrg
105730 Mapkap1
105683 Frmd4b
105673 Dclk2
105606 Hmbox1
105579 Ptk2b
105520 Dync1h1
105501 Rc3h2
105489 Pbrm1
105461 Cpeb2
105329 Myrip
105265 Vps13c
105261 1700025G04Rik
105209 Catspere2
105200 Garem1
105197 Memo1
105108 Irf2
104986 Golga4
104872 Picalm
104826 Grik5
104817 Prkacb
104792 Asxl1
104773 Lmo7
104671 Itfg1
104445 Pcdh10
104418 Atp1a2
104371 Rab6b
104241 Grik3
104133 Ghr
104124 Ywhaz
104122 Trim37
104103 Kcnb1
103940 Lgi1
103903 Fndc3a
103769 Rps6ka5
103627 Cyld
103616 Scfd2
103191 Syt11
102942 Ttc17
102928 Rmdn1
102910 Cep350
102870 Ctif
102744 Hdac4
102634 Odf2
102521 Arhgap20
102478 Kdm6a
102463 Pabpn1
102434 Atp9a
102367 Plcxd3
102331 Prex2
102224 Reln
102222 Tbl1xr1
102220 Ints6
102122 Atp11b
102108 Srgap1
102085 Znrf3
102075 Zfp704
102064 Phc2
102063 Fam13c
102046 Tshz3
102040 Dcaf5
102001 Marchf6
101965 Ubap2l
101951 Glrb
101942 Plppr1
101930 Ywhae
101898 Rab2a
101876 Tango2
101768 Rlf
101747 Sdccag8
101727 Parp8
101690 Ripor2
101646 Mbp
101617 Ndrg4
101547 Phkb
101467 Tial1
101346 Dcx
101224 Clcn3
101221 Plekhm3
101160 Usp47
101026 Kansl1l
100999 Map7d2
100957 Pcnx2
100944 Rgl1
100834 Armh3
100781 Zc3h12b
100723 Pum2
100642 Pkn2
100623 Tnks
100562 Acin1
100504 Zwint
100488 Btbd10
100474 Ypel2
100473 Man2a1
100399 Hipk2
100278 Hnrnpm
100198 Myo18a
100142 Zfp207
100073 Ccar1
99941 Igsf9b
99852 Cracd
99847 Nek1
99789 Myo6
99768 Luzp1
99732 Ppp6r2
99714 Eri3
99660 Plekha1
99571 Mapk14
99552 Cdc42
99496 Mirg
99470 Pip5k1b
99463 Rictor
99413 C130073E24Rik
99391 Alk
99367 Nup93
99244 Adar
99153 Dgkz
99070 Fam120c
99069 Cnot1
98958 Sesn1
98954 Add3
98949 Hmg20a
98913 Hira
98878 Chrm2
98810 Emsy
